headword,CEFR,freq,len,syl
a,A1,7.36,1,1
a.m./A.M./am/AM,A1,4.03,15,3
abandon,B1,4.02,7,3
abandoned,B2,4.4,9,3
ability,A2,4.96,7,4
able,B1,5.43,4,2
abnormal,B1,3.71,8,3
abnormally,B2,3.07,10,4
aboard,B1,4.14,6,2
abolish,B2,3.48,7,3
aboriginal,B2,3.78,10,5
aborigine,B1,2.11,9,5
about,A1,6.4,5,2
about,A1,6.4,5,2
above,B1,5.2,5,2
above,A1,5.2,5,2
above,A1,5.2,5,2
abroad,A2,4.39,6,2
abruptly,B2,3.56,8,3
absence,B1,4.34,7,2
absent,B1,3.98,6,2
absentee,B2,3.17,8,3
absolute,B1,4.54,8,3
absolutely,B1,4.98,10,4
absorb,B1,3.81,6,2
abstract,B1,4.14,8,2
absurd,B2,3.95,6,2
abundance,B1,3.86,9,3
abundant,B1,3.77,8,3
abuse,B2,4.66,5,2
academic,B1,4.57,8,4
academy,B1,4.57,7,4
accent,B1,4.14,6,2
accept,A2,4.85,6,2
acceptable,A2,4.27,10,4
acceptance,B1,4.16,10,3
access,B1,5.05,6,2
access,B2,5.05,6,2
accessibility,B2,3.51,13,6
accessible,B1,4.18,10,4
accessory,B1,3.63,9,4
accident,A2,4.71,8,3
accidental,B1,3.82,10,4
accidentally,B1,4.22,12,5
accommodation,B2,4.06,13,5
accompany,B1,3.81,9,4
accomplish,B1,4.05,10,3
according to,B1,5.28,12,4
accordingly,B2,4.02,11,4
account,A2,5.21,7,2
account,B1,5.21,7,2
accountant,B1,3.76,10,3
accumulate,B2,3.48,10,4
accuracy,B1,4.24,8,4
accurate,B1,4.57,8,3
accurately,B1,3.99,10,4
accusation,B2,3.6,10,4
accuse,B1,3.71,6,2
accustom,B1,2.06,8,3
ache,B1,3.43,4,1
ache,B2,3.43,4,1
achievable,B2,3.21,10,4
achieve,A2,4.57,7,2
achievement,B1,4.36,11,3
acid,B2,4.45,4,2
acknowledge,B1,4.18,11,3
acknowledgment/acknowledgement,B1,2.9,30,8
acquaintance,B1,3.55,12,3
acquire,B1,4.13,7,3
acquisition,B2,4.26,11,4
across,A2,5.25,6,2
across,A2,5.25,6,2
act,A2,5.3,3,1
act,B1,5.3,3,1
action,A1,5.25,6,2
active,B1,4.93,6,2
actively,B2,4.23,8,3
activity,A1,4.86,8,4
actor,A1,4.65,5,2
actress,B1,4.45,7,2
actual,B2,4.85,6,3
actually,A2,5.49,8,4
acute,B2,4.0,5,2
ad,B1,4.76,2,1
adapt,B1,3.98,5,2
adaptable,B2,3.12,9,4
add,A1,5.09,3,1
addict,B2,3.68,6,2
addicted,B2,3.82,8,3
addiction,B2,4.14,9,3
addition,A2,5.01,8,3
additional,A2,4.98,10,4
additionally,B2,4.2,12,5
address,A1,4.91,7,2
address,B1,4.91,7,2
addressee,B1,2.34,9,3
adequate,B2,4.05,8,3
adequately,B2,3.64,10,4
adjective,A2,3.34,9,3
adjust,A2,4.07,6,2
adjustment,B2,3.88,10,3
administration,B1,4.93,14,5
administrative,B2,4.45,14,5
admirable,B2,3.48,9,4
admiration,B1,3.59,10,4
admire,A2,3.97,6,2
admiringly,B2,2.05,10,4
admission,B1,4.15,9,3
admit,A2,4.58,5,2
admittedly,B2,3.54,10,4
adopt,B1,4.19,5,2
adopted,B2,4.51,7,3
adoption,B2,4.17,8,3
adorable,B1,4.06,8,4
adore,B2,3.7,5,2
adorn,B2,3.01,5,2
adult,A2,4.8,5,2
adult,A2,4.8,5,2
advance,B2,4.65,7,2
advance,B1,4.65,7,2
advanced,A2,4.71,8,2
advancement,B2,3.81,11,3
advantage,A2,4.78,9,3
advent,B2,3.67,6,2
adventure,A2,4.46,9,3
adventurous,B2,3.48,11,4
adverb,B1,2.55,6,2
adverbial,B1,2.13,9,4
adverse,B2,3.89,7,2
adversely,B2,3.27,9,3
adversity,B2,3.38,9,4
advert,B1,3.46,6,2
advertise,B1,3.66,9,3
advertisement,A2,3.84,13,4
advertising,A2,4.54,11,4
advice,A2,4.88,6,2
advise,A2,4.09,6,2
adviser/advisor,B1,3.67,15,6
aerobics,B1,2.75,8,3
affair,A2,4.3,6,2
affect,B1,4.59,6,2
affection,B1,3.92,9,3
affectionate,B2,3.35,12,4
affectionately,B2,3.11,14,5
afford,B1,4.57,6,2
affordable,B2,4.22,10,4
afraid,A1,4.7,6,2
after,A2,6.11,5,2
after,B1,6.11,5,2
after,A1,6.11,5,2
afternoon,A1,4.72,9,3
afterward,B1,3.83,9,3
afterwards,B1,4.42,10,3
again,A1,5.7,5,2
against,A2,5.68,7,2
age,A1,5.32,3,1
aged,A2,4.5,4,1
ageless,B2,2.69,7,2
agency,A2,4.87,6,3
agenda,B1,4.3,6,3
agent,A2,4.81,5,2
aggressive,B1,4.32,10,3
aggressively,B2,3.63,12,4
ago,A1,5.42,3,2
agonize/agonise,B2,1.35,15,5
agony,B2,3.6,5,3
agree,A1,4.97,5,2
agreement,B1,4.88,9,3
agricultural,B1,4.34,12,5
agriculture,B1,4.37,11,4
ahead,A2,5.01,5,2
aid,B1,4.75,3,1
aid,B1,4.75,3,1
aim,B1,4.51,3,1
aim,B2,4.51,3,1
air,A2,5.37,3,1
air conditioning,B1,3.88,16,5
air force,B1,4.99,9,2
aircraft,B2,4.64,8,2
aircrew,B2,2.5,7,2
airline,B1,4.04,7,2
airplane/aeroplane,A1,3.11,18,3
airport,A1,4.84,7,2
aisle,A2,3.72,5,1
alarm,A2,4.28,5,2
alarm,B1,4.28,5,2
alarm clock,A2,4.05,11,3
album,A1,5.02,5,2
alcohol,B1,4.61,7,3
alcoholic,B1,3.91,9,4
alcoholic,B2,3.91,9,4
alcoholism,B2,3.45,10,5
alert,B2,4.33,5,2
alike,B1,4.13,5,2
alike,B1,4.13,5,2
alive,A2,4.76,5,2
all,A2,6.52,3,1
all,A1,6.52,3,1
all,A1,6.52,3,1
all right,A1,5.85,9,2
all right,A1,5.85,9,2
allegation,B2,3.5,10,4
allergic,B1,3.78,8,3
alliance,B2,4.4,8,3
allow,A2,5.01,5,2
allowance,B1,3.85,9,3
ally,B2,4.1,4,2
almost,A1,5.39,6,2
alone,A2,5.16,5,2
alone,A1,5.16,5,2
along,A1,5.38,5,2
along,A2,5.38,5,2
alongside,B2,4.45,9,3
aloud,B1,3.51,5,2
alphabet,B1,3.7,8,3
alphabetical,B2,3.22,12,5
already,A1,5.55,7,3
alright,A2,4.42,7,2
alright,A2,4.42,7,2
also,A1,6.19,4,2
altar,B2,3.8,5,2
alter,B2,4.05,5,2
alternate,B2,4.11,9,3
alternative,B1,4.71,11,4
alternative,B1,4.71,11,4
alternatively,B2,3.81,13,5
although,A2,5.3,8,2
altitude,B2,3.92,8,3
altogether,B1,4.07,10,4
aluminum/aluminium,B2,3.55,18,6
always,A1,5.76,6,2
am,A1,5.78,2,1
amaze,B2,3.19,5,2
amazed,B1,3.91,6,2
amazement,B2,3.0,9,3
amazing,B1,5.1,7,3
amazingly,B2,3.64,9,4
ambassador,B2,4.35,10,4
ambiguity,B2,3.37,9,5
ambiguous,B2,3.57,9,4
ambition,A2,3.91,8,3
ambitious,B1,3.95,9,3
ambulance,B1,4.06,9,3
ammonia,B2,3.36,7,3
among,A2,5.31,5,2
amongst,B2,4.31,7,2
amount,B1,5.13,6,2
ample,B2,3.71,5,2
amplifier,B2,3.45,9,4
amplify,B2,3.16,7,3
amuse,B2,3.12,5,2
amused,A2,3.53,6,2
amusement,A2,3.74,9,3
amusing,B1,3.76,7,3
an,A1,6.53,2,1
analogy,B2,3.71,7,4
analyst,B2,4.03,7,3
analyze/analyse,B1,3.32,15,5
ancestor,A2,3.49,8,3
anchor,B2,4.02,6,2
anchorage,B2,3.42,9,3
anchorman,B2,2.63,9,3
anchorperson,B2,0.0,12,4
ancient,A2,4.68,7,2
and,A1,7.41,3,1
angel,A2,4.45,5,2
anger,B1,4.42,5,2
angle,B1,4.38,5,2
angrily,A2,3.34,7,3
angry,A1,4.66,5,2
anguish,B2,3.37,7,2
animal,A1,4.81,6,3
animate,B2,3.14,7,3
animated,B1,4.07,8,4
animation,B1,4.18,9,4
ankle,A2,3.97,5,2
anniversary,A2,4.53,11,5
announce,B1,4.26,8,2
announcement,B1,4.31,12,3
annoy,A2,3.46,5,2
annoyance,B1,3.33,9,3
annoyed,B1,3.95,7,2
annoying,A2,4.4,8,3
annual,B1,4.94,6,3
annually,B1,4.16,8,4
anonymous,B2,4.17,9,4
another,A1,5.74,7,3
another,A2,5.74,7,3
answer,A1,5.17,6,2
answer,A1,5.17,6,2
ant,B1,3.86,3,1
anti,B1,5.01,4,2
antiaircraft,B2,2.49,12,4
antibacterial,B2,2.89,13,6
anticancer,B2,2.44,10,4
anticipate,B2,3.73,10,4
anticipation,B2,3.74,12,5
antipollution,B2,0.0,13,4
antique,B2,3.86,7,2
antique,B1,3.86,7,2
antistatic,B2,1.73,10,4
antivirus,B2,2.9,9,4
antonym,B1,1.95,7,1
anxiety,B1,4.45,7,4
anxious,A2,4.09,7,2
anxiously,B1,3.09,9,3
any,A1,6.07,3,2
any,A1,6.07,3,2
anybody,A1,4.56,7,4
anyhow,B1,3.48,6,3
anymore,A2,4.94,7,3
anyone,A1,5.38,6,3
anything,A1,5.55,8,3
anyway,A2,4.91,6,3
anywhere,A2,4.71,8,3
apart,A2,4.78,5,2
apartment,A2,4.65,9,3
ape,B1,3.48,3,1
apologize/apologise,A2,3.54,19,5
apology,B1,4.05,7,4
apostrophe,B2,2.76,10,4
apparent,B1,4.32,8,3
apparently,A2,4.8,10,4
appeal,B1,4.67,6,2
appeal,B2,4.67,6,2
appear,A2,4.85,6,2
appetite,B1,3.87,8,3
applaud,B1,3.46,7,2
applause,B1,3.83,8,2
apple,A1,4.76,5,2
applicant,B2,3.64,9,3
application,B1,4.86,11,4
apply,A2,4.81,5,2
appoint,B1,3.7,7,2
appointment,A2,4.49,11,3
appreciate,A2,4.74,10,4
appreciation,B1,4.12,12,5
appreciative,B2,3.24,12,5
approach,B1,4.93,8,2
approach,B2,4.93,8,2
appropriate,A2,4.67,11,4
appropriately,B2,3.74,13,5
approval,B1,4.5,8,3
approve,B1,4.08,7,2
approximate,B2,3.64,11,4
approximately,B1,4.64,13,5
April,A1,5.19,5,2
apron,A1,3.36,5,2
arch,B2,4.02,4,1
archaeologist/archeologist,B2,2.34,26,8
architect,B1,4.08,9,3
architecture,A2,4.42,12,4
arctic,B2,4.03,6,2
are,A1,6.74,3,1
area,A2,5.46,4,3
arena,B2,4.33,5,3
argue,A2,4.46,5,2
argument,A2,4.64,8,3
arise,B1,3.93,5,2
aristocracy,B2,3.21,11,5
arithmetic,B1,3.4,10,4
arm,A1,4.73,3,1
arm,B1,4.73,3,1
armchair,A2,3.21,8,2
armed,A2,4.59,5,1
armful,B2,1.98,6,2
army,B1,5.06,4,2
arouse,B2,2.9,6,2
arrange,B1,4.0,7,2
arrangement,B1,4.25,11,3
arrest,B1,4.55,6,2
arrest,B1,4.55,6,2
arrival,B1,4.44,7,3
arrive,A1,4.38,6,2
arrogant,B2,3.74,8,3
arrow,B1,4.13,5,2
art,A1,5.29,3,1
artery,B2,3.65,6,3
article,A1,5.09,7,3
articulate,B2,3.54,10,4
artificial,A2,4.24,10,4
artificially,B2,3.44,12,5
artist,B1,4.8,6,2
artistic,B1,4.17,8,3
artistry,B2,3.12,8,3
as,A2,6.77,2,1
as,A1,6.77,2,1
ash,B2,4.16,3,1
ashamed,B1,4.06,7,2
aside,B1,4.59,5,2
ask,A1,5.34,3,1
asleep,A2,4.36,6,2
aspect,B1,4.41,6,2
aspiration,B2,3.3,10,4
aspire,B2,3.47,6,2
aspirin,B1,3.34,7,2
assault,B2,4.44,7,2
assemble,B2,3.64,8,3
assembly,B2,4.61,8,3
assert,B2,3.62,6,2
assess,B2,4.07,6,2
assessment,B2,4.46,10,3
assign,B1,3.66,6,2
assignment,B1,4.18,10,3
assist,B1,4.42,6,2
assistance,B1,4.59,10,3
assistant,A2,4.72,9,3
assistant,B1,4.72,9,3
associate,B1,4.39,9,4
association,A2,5.01,11,5
assume,B1,4.57,6,2
assumption,B2,4.07,10,3
assurance,B2,3.81,9,3
assure,B2,4.06,6,2
astonish,B2,2.47,8,3
astonished,B2,3.27,10,3
astonishing,B2,3.67,11,4
astonishment,B2,2.86,12,4
astronaut,A2,3.6,9,3
astronomer,B1,3.16,10,4
astronomy,B2,3.63,9,4
at,A1,6.7,2,1
athlete,A2,4.11,7,2
athletic,B1,4.12,8,3
athletics,B2,3.82,9,3
Atlantic,B1,4.39,8,3
atmosphere,B1,4.46,10,3
atom,A2,3.72,4,2
atomic,B1,3.98,6,3
attach,B1,3.75,6,2
attached,B2,4.52,8,2
attachment,B1,3.88,10,3
attack,A2,5.09,6,2
attack,A2,5.09,6,2
attain,B1,3.6,6,2
attainable,B2,3.1,10,4
attainment,B2,3.15,10,3
attempt,A2,4.85,7,2
attempt,B1,4.85,7,2
attend,B1,4.55,6,2
attendance,B2,4.17,10,3
attention,A2,5.11,9,3
attentive,B2,3.3,9,3
attentively,B2,2.51,11,4
attitude,A2,4.58,8,3
attract,B1,4.2,7,2
attraction,B1,4.11,10,3
attractive,A2,4.53,10,3
attractiveness,B2,3.25,14,4
attribute,B2,3.77,9,3
attribute,B2,3.77,9,3
atypical,B2,3.12,8,4
aubergine,B2,2.41,9,3
audience,A2,4.73,8,3
audio,A2,4.47,5,3
audit,B2,4.04,5,2
audition,B2,3.77,8,3
August,A1,5.1,6,2
aunt,A1,4.16,4,1
author,A2,4.95,6,2
authoritative,B2,3.4,13,5
authority,B1,4.81,9,4
authorize/authorise,B2,2.69,19,5
automatic,A2,4.36,9,4
automatically,A2,4.52,13,5
autumn,A1,4.26,6,2
auxiliary,B1,3.74,9,4
availability,B2,4.13,12,6
available,B1,5.28,9,4
avenue,B1,4.43,6,3
average,A2,5.16,7,3
average,A2,5.16,7,3
avoid,A2,4.87,5,2
await,B2,3.63,5,2
awake,A1,4.14,5,2
aware,B1,4.78,5,2
awareness,B1,4.44,9,3
away,A1,5.62,4,2
awe,B2,3.8,3,1
awesome,B1,4.92,7,2
awful,A2,4.46,5,2
awkward,B1,4.29,7,2
ax/axe,B2,3.21,6,2
axis,B2,4.02,4,2
baby,A1,5.26,4,2
babysit,B1,3.03,7,3
babysitter,B1,3.21,10,4
back,A2,6.04,4,1
back,A1,6.04,4,1
back,A1,6.04,4,1
back,B1,6.04,4,1
backache,B1,2.22,8,2
background,A2,4.77,10,2
backpack,B1,3.78,8,2
backpacker,B1,2.64,10,3
backpacking,B1,3.0,11,3
backup,B2,4.21,6,2
backward/backwards,B2,3.54,18,4
backyard,B2,3.87,8,2
bacon,B1,4.15,5,2
bad,A1,5.53,3,1
badge,B2,4.02,5,1
badly,A2,4.44,5,2
badminton,A2,3.28,9,3
bad-tempered,B2,3.53,12,2
bag,A1,4.79,3,1
baggage,B1,3.74,7,2
bake,A2,3.91,4,1
baker,B1,4.23,5,2
bakery,B1,3.67,6,3
balance,B1,4.76,7,2
balance,B2,4.76,7,2
balanced,B2,4.18,8,2
balcony,A2,3.78,7,3
bald,B1,3.83,4,1
balky,B2,1.57,5,2
ball,A1,5.04,4,1
ballad,B2,3.42,6,2
ballet,B2,3.95,6,2
balloon,A2,3.9,7,2
ballot,B2,4.06,6,2
ban,B2,4.55,3,1
ban,B2,4.55,3,1
banana,A1,4.0,6,3
band,A1,4.92,4,1
bandage,B1,3.24,7,2
bang,B1,4.32,4,1
bang,B1,4.32,4,1
bank,A1,5.16,4,1
bank,A2,5.16,4,1
bank account,B1,4.88,12,3
banker,B2,3.78,6,2
banking,A2,4.35,7,2
bankrupt,B2,3.73,8,2
