timestamp,accuracy,f1_score,recall,precision,kappa,confusion_matrix,threshold_used,native_language,education_level,age_group,english_level,job_category,reading_domain
2025-08-04 18:02:26,"(0.76, 0.67)","(0.3684210526315789, 0.5822784810126582)","(0.2413793103448276, 0.7931034482758621)","(0.7777777777777778, 0.46)","(0.2678462477120196, 0.33999999999999997)","('[[69  2]\n [22  7]]', '[[44 27]\n [ 6 23]]')",0.29,French,Ph.D.,"(18, 25)",Advanced,Education & Research,Businness News
2025-08-04 18:11:36,"(0.64, 0.77)","(0.5384615384615384, 0.7415730337078652)","(0.42, 0.66)","(0.75, 0.8461538461538461)","(0.28, 0.54)","('[[43  7]\n [29 21]]', '[[44  6]\n [17 33]]')",0.5,Turkish,High School,"(30, 40)",Intermediate,Business & Office Work,Businness News
2025-08-04 18:55:54,"(0.68, 0.67)","(0.6097560975609756, 0.6206896551724138)","(0.5102040816326531, 0.5510204081632653)","(0.7575757575757576, 0.7105263157894737)","(0.35561820378574305, 0.33681672025723475)","('[[43  8]\n [24 25]]', '[[40 11]\n [22 27]]')",0.49,Spanish,Ph.D.,"(25, 30)",Advanced,Skilled Trades & Vocational,Businness News
2025-08-04 19:05:00,"(0.8, 0.77)","(0.6774193548387096, 0.7088607594936709)","(0.5526315789473685, 0.7368421052631579)","(0.875, 0.6829268292682927)","(0.5429616087751371, 0.5192307692307693)","('[[59  3]\n [17 21]]', '[[49 13]\n [10 28]]')",0.38,Italian,Ph.D.,"(30, 40)",Advanced,Creative & Communication,Social Media
2025-08-04 19:39:24,"(0.76, 0.78)","(0.7272727272727273, 0.75)","(0.64, 0.66)","(0.8421052631578947, 0.868421052631579)","(0.52, 0.56)","('[[44  6]\n [18 32]]', '[[45  5]\n [17 33]]')",0.5,Mandarin,Ph.D.,"(25, 30)",Beginner,Service & Hospitality,Fiction
2025-08-04 19:49:00,"(0.81, 0.79)","(0.7816091954022989, 0.7640449438202247)","(0.68, 0.68)","(0.918918918918919, 0.8717948717948718)","(0.62, 0.5800000000000001)","('[[47  3]\n [16 34]]', '[[45  5]\n [16 34]]')",0.5,Spanish,Masters,"(30, 40)",Intermediate,Government & Legal,Fiction
2025-08-04 19:49:14,"(0.64, 0.72)","(0.4857142857142857, 0.7142857142857143)","(0.3541666666666667, 0.7291666666666666)","(0.7727272727272727, 0.7)","(0.26350245499181657, 0.43999999999999995)","('[[47  5]\n [31 17]]', '[[37 15]\n [13 35]]')",0.48,Arabic,Ph.D.,"(18, 25)",Advanced,Skilled Trades & Vocational,Fiction
2025-08-04 20:10:26,"(0.81, 0.84)","(0.831858407079646, 0.8518518518518519)","(0.94, 0.92)","(0.746031746031746, 0.7931034482758621)","(0.62, 0.6799999999999999)","('[[34 16]\n [ 3 47]]', '[[38 12]\n [ 4 46]]')",0.5,French,Ph.D.,"(25, 30)",Beginner,Creative & Communication,Businness News
2025-08-04 20:42:13,"(0.7, 0.77)","(0.6052631578947368, 0.7766990291262136)","(0.46, 0.8)","(0.8846153846153846, 0.7547169811320755)","(0.4, 0.54)","('[[47  3]\n [27 23]]', '[[37 13]\n [10 40]]')",0.5,Arabic,Masters,"(25, 30)",Intermediate,Creative & Communication,Academic papers
2025-08-04 20:51:04,"(0.67, 0.77)","(0.56, 0.7526881720430108)","(0.42, 0.7)","(0.84, 0.813953488372093)","(0.33999999999999997, 0.54)","('[[46  4]\n [29 21]]', '[[42  8]\n [15 35]]')",0.5,Arabic,Ph.D.,"(25, 30)",Intermediate,Healthcare,Fiction
2025-08-04 20:59:43,"(0.55, 0.74)","(0.21052631578947367, 0.7592592592592593)","(0.12244897959183673, 0.8367346938775511)","(0.75, 0.6949152542372882)","(0.0846216436126932, 0.4818652849740933)","('[[49  2]\n [43  6]]', '[[33 18]\n [ 8 41]]')",0.49,French,Masters,"(25, 30)",Advanced,Skilled Trades & Vocational,Social Media
2025-08-04 21:09:12,"(0.84, 0.83)","(0.8490566037735849, 0.8380952380952381)","(0.9, 0.88)","(0.8035714285714286, 0.8)","(0.6799999999999999, 0.6599999999999999)","('[[39 11]\n [ 5 45]]', '[[39 11]\n [ 6 44]]')",0.5,Russian,Masters,"(18, 25)",Beginner,Education & Research,Fiction
2025-08-04 21:18:01,"(0.8, 0.81)","(0.782608695652174, 0.7912087912087912)","(0.72, 0.72)","(0.8571428571428571, 0.8780487804878049)","(0.6, 0.62)","('[[44  6]\n [14 36]]', '[[45  5]\n [14 36]]')",0.5,Russian,Bachelors,"(25, 30)",Beginner,Government & Legal,Academic papers
2025-08-04 21:26:35,"(0.72, 0.7)","(0.631578947368421, 0.6808510638297872)","(0.5, 0.6666666666666666)","(0.8571428571428571, 0.6956521739130435)","(0.4299674267100978, 0.3980738362760835)","('[[48  4]\n [24 24]]', '[[38 14]\n [16 32]]')",0.48,French,Masters,"(30, 40)",Intermediate,Business & Office Work,Academic papers
2025-08-04 21:35:14,"(0.67, 0.73)","(0.5217391304347826, 0.7157894736842105)","(0.36, 0.68)","(0.9473684210526315, 0.7555555555555555)","(0.33999999999999997, 0.45999999999999996)","('[[49  1]\n [32 18]]', '[[39 11]\n [16 34]]')",0.5,Italian,High School,"(18, 25)",Advanced,Government & Legal,Businness News
2025-08-04 21:44:01,"(0.54, 0.74)","(0.11538461538461539, 0.7291666666666666)","(0.061224489795918366, 0.7142857142857143)","(1.0, 0.7446808510638298)","(0.06237260497350183, 0.47937525030036043)","('[[51  0]\n [46  3]]', '[[39 12]\n [14 35]]')",0.49,Italian,Ph.D.,"(30, 40)",Intermediate,Creative & Communication,Social Media
2025-08-04 21:52:44,"(0.65, 0.82)","(0.4927536231884058, 0.8043478260869565)","(0.34, 0.74)","(0.8947368421052632, 0.8809523809523809)","(0.30000000000000004, 0.64)","('[[48  2]\n [33 17]]', '[[45  5]\n [13 37]]')",0.5,Arabic,Bachelors,"(30, 40)",Intermediate,Healthcare,Academic papers
2025-08-04 22:01:14,"(0.7, 0.77)","(0.5833333333333334, 0.7578947368421053)","(0.42857142857142855, 0.7346938775510204)","(0.9130434782608695, 0.782608695652174)","(0.393449251920744, 0.5392628205128205)","('[[49  2]\n [28 21]]', '[[41 10]\n [13 36]]')",0.49,Italian,Masters,"(18, 25)",Advanced,Service & Hospitality,Fiction
2025-08-04 22:09:44,"(0.65, 0.74)","(0.5454545454545454, 0.7592592592592593)","(0.42, 0.82)","(0.7777777777777778, 0.7068965517241379)","(0.30000000000000004, 0.48)","('[[44  6]\n [29 21]]', '[[33 17]\n [ 9 41]]')",0.5,Italian,Ph.D.,"(18, 25)",Intermediate,Business & Office Work,Non Fiction
2025-08-04 22:18:08,"(0.63, 0.77)","(0.4307692307692308, 0.7628865979381443)","(0.28, 0.74)","(0.9333333333333333, 0.7872340425531915)","(0.26, 0.54)","('[[49  1]\n [36 14]]', '[[40 10]\n [13 37]]')",0.5,Turkish,High School,"(30, 40)",Advanced,Technology & Engineering,Fiction
2025-08-04 22:26:48,"(0.75, 0.79)","(0.6835443037974683, 0.8037383177570093)","(0.54, 0.86)","(0.9310344827586207, 0.7543859649122807)","(0.5, 0.5800000000000001)","('[[48  2]\n [23 27]]', '[[36 14]\n [ 7 43]]')",0.5,Russian,Masters,"(25, 30)",Advanced,Government & Legal,Non Fiction
2025-08-04 22:35:15,"(0.77, 0.77)","(0.735632183908046, 0.780952380952381)","(0.6530612244897959, 0.8367346938775511)","(0.8421052631578947, 0.7321428571428571)","(0.537781350482315, 0.5411013567438148)","('[[45  6]\n [17 32]]', '[[36 15]\n [ 8 41]]')",0.49,Turkish,Masters,"(18, 25)",Advanced,Education & Research,Non Fiction
2025-08-04 22:43:38,"(0.65, 0.76)","(0.5205479452054794, 0.76)","(0.38, 0.76)","(0.8260869565217391, 0.76)","(0.30000000000000004, 0.52)","('[[46  4]\n [31 19]]', '[[38 12]\n [12 38]]')",0.5,Spanish,Bachelors,"(30, 40)",Advanced,Skilled Trades & Vocational,Businness News
